aback,cabal 5
acid,cage 4
acme,band 4
activate,cavitate 4
adverb,cetera 4
aides,cheer 4
alcoa,blanc 4
ammo,boom 4
anagram,cochran 5
animate,cognate 4
annette,confute 4
anomie,connie 4
arden,credo 4
aside,brief 4
astor,crump 5
avow,cuny 4
bade,abed 4
bantu,about 5
barge,acrid 4
basin,cargo 4
bebop,adams 5
beget,adieu 4
blink,algol 4
body,anew 4
bomb,anna 4
bondsman,ammerman 5
bonn,ammo 4
bonnie,anomie 4
boon,ammo 4
borg,ansi 4
brooke,arnold 4
cafe,abed 4
canst,abort 4
catv,abut 4
chef,aide 4
chef,bide 4
cindy,agnew 4
click,algal 4
clink,algol 4
cody,anew 4
comb,anna 4
conn,ammo 4
conspire,comprise 4
corey,ampex 4
cried,aside 4
cycle,awake 4
doge,enid 4
dosage,forbid 5
echo,fain 4
father,davies 4
fescue,derate 4
fjord,elope 4
goats,incur 5
grecian,isfahan 5
ibid,gage 4
invade,hotbed 6
itself,hurdle 5
ivanhoe,guanine 4
khmer,lines 4
knauer,loaves 4
lichen,libido 4
local,knack 5
loiter,knives 4
madam,ocean 4
merck,nepal 4
namesake,mandrake 4
noun,onto 4
oval,muck 4
papua,scrub 4
pave,scud 4
pine,shod 4
pistol,shrunk 6
pony,snow 4
prism,spiro 4
privy,spitz 4
puddle,steele 4
puddly,steely 4
request,pervert 4
rice,shad 4
rifle,shelf 4
rime,shod 4
rinse,shore 4
rival,shuck 5
rotc,snub 4
ruffle,steele 4
rummy,stony 4
scud,pate 4
scud,rate 4
scud,rave 4
sedate,redbud 4
seethe,refuge 4
seethed,refugee 5
shag,rich 4
sham,rico 4
shed,ride 4
show,rimy 4
shunt,pivot 4
simply,pinsky 4
sinus,piotr 4
smug,roth 4
snug,roth 4
spoof,prone 4
spur,rsvp 4
staph,quasi 4
stew,rudy 4
steward,rudyard 4
stow,puny 4
suspend,supreme 4
sweep,ryder 4
tithe,vivid 4
truss,usurp 4
unite,vogue 4
upheld,trifle 5
usgs,trip 4
usual,truck 4
verge,tepid 4
zinc,whoa 4
